id,gt
1001000043000081,4
1007000007001366,2
1005000010000245,5
1003000022000054,3
1007000073000331,0
1005000019000240,0
1009000001000382,6
1003000022002084,3
1007000037000272,0
1007000048000116,1
1009000001000304,6
1005000015000479,6
1009000001001123,6
1009000001000320,6
1002000022000053,5
1005000078000120,6
1009000041000283,6
1006000014000072,0
1003000021000395,0
1006000014000039,0
1007000019000372,2
1001000021000091,5
1005000021000249,3
1001000053000133,3
1007000131002324,2
1005000021000409,6
1005000021000899,3
1009000068000524,7
1007000007001430,2
1009000009000344,7
1003000099001153,6
1007000037000561,0
1007000131002302,2
1005000019000359,5
1005000026001274,7
1003000099001136,3
1007000095000430,1
1005000015000489,6
1009000041000277,6
1002000022000051,0
1007000048000311,1
1009000095002070,6
1007000078000074,0
1007000048000308,1
1006000091000198,1
1003000099001202,3
1009000041000263,6
1009000035000159,5
1005000059000351,5
1005000010000149,6
1003000099000633,3
1007000095000425,1
1009000068000337,7
1007000019000338,2
1005000015000377,6
1005000059000286,5
1007000000001238,2
1009000001000327,6
1003000066000113,4
1009000035000128,5
1006000039000328,0
1009000009000164,7
1009000009000327,7
1001000021000380,4
1009000066000183,7
1001000021000231,6
1003000099001289,0
1007000048000400,0
1007000016000526,2
1005000021000395,7
1005000010000119,6
1007000095000290,1
1007000019000560,2
1009000068000872,3
1001000022000180,6
1001000053000277,3
1006000014000043,0
1005000021000633,3
1007000073000113,0
1003000022002062,3
1002000021000148,3
1005000015000083,6
1003000022001663,3
1005000015000320,6
1002000021000141,3
1002000021000139,3
1006000014000044,0
1002000022000015,3
1003000022001675,7
1003000022001740,4
1005000010000090,6
1001000053000257,3
1003000022001179,3
1007000016000158,2
1009000041000146,6
1009000041000225,6
1001000022000324,1
1006000014000095,0
1003000022001802,3
1005000015000366,6
1006000039000071,0
1007000007000216,2
1003000021000132,7
1006000039000655,0
1006000039000649,0
1009000095000761,6
1001000022000059,2
1001000022000349,6
1009000068000852,7
1007000048000371,1
1007000073000295,0
1005000010000304,6
1007000073000280,0
1007000037000427,0
1009000095001964,6
1003000066000114,4
1006000091000177,1
1006000091000227,1
1005000021000656,5
1001000021000430,0
1005000021000554,3
1007000018000942,0
1002000021000080,4
1003000022000106,0
1003000030000112,4
1007000095000298,1
1005000010000326,6
1003000022002014,5
1009000068000834,7
1009000068001580,6
1005000021001378,5
1006000091000086,1
1006000014000103,0
1005000026000992,7
1009000035000384,5
1007000037000084,0
1005000059000459,5
1007000016000081,2
1005000026001118,7
1007000016000377,2
1001000053001225,3
1005000078000068,6
1006000039000550,0
